data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,nuovi_ricoverati_con_sintomi,nuovi_terapia_intensiva,nuovi_totale_ospedalizzati,nuovi_isolamento_domiciliare,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_totale_casi,nuovi_tamponi
2020-05-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,105,3,108,619,727,-13,4,299,86,1112,37054,35101,,,0,-3,-3,-10,17,0,4,1151
2020-05-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,100,4,104,609,713,-14,0,311,88,1112,37928,35975,,,-5,1,-4,-10,12,2,0,874
2020-02-24T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,0,0,0,0,0,0,0,0,0,0,5,null,,,0,0,0,0,0,0,0,0
2020-02-25T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,2,3,3,3,0,0,3,5,null,,,1,0,1,2,0,0,3,5
2020-02-26T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,2,3,0,0,0,0,3,5,null,,,0,0,0,0,0,0,0,0
2020-02-27T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,-1,1,2,0,4,5,null,,,0,0,0,-1,2,0,1,0
2020-02-28T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,0,2,0,4,5,null,,,0,0,0,0,0,0,0,0
2020-02-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,0,2,0,4,6,null,,,0,0,0,0,0,0,0,1
2020-03-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,6,7,5,5,2,0,9,291,null,,,0,0,0,5,0,0,5,285
2020-03-02T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,-2,-2,2,0,7,307,null,,,1,0,1,-3,0,0,-2,16
2020-03-03T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,0,0,2,0,7,307,null,,,0,0,0,0,0,0,0,0
2020-03-04T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,11,11,2,0,18,367,null,,,3,0,3,8,0,0,11,60
2020-03-05T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,0,0,2,0,18,367,null,,,0,0,0,0,0,0,0,0
2020-03-06T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,7,0,7,15,22,6,6,2,0,24,367,null,,,2,0,2,4,0,0,6,0
2020-03-07T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,8,0,8,25,33,11,11,2,0,35,643,null,,,1,0,1,10,0,0,11,276
2020-03-08T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,18,0,18,33,51,18,18,2,0,53,791,null,,,10,0,10,8,0,0,18,148
2020-03-09T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,19,0,19,33,52,1,1,2,0,54,836,null,,,1,0,1,0,0,0,1,45
2020-03-10T18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,17,2,19,41,60,8,8,2,0,62,955,null,,,-2,2,0,8,0,0,8,119
2020-03-11T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,23,1,24,57,81,21,21,2,0,83,1194,null,,,6,-1,5,16,0,0,21,239
2020-03-12T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,28,5,33,78,111,30,32,2,2,115,1477,null,,,5,4,9,21,0,2,32,283
2020-03-13T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,37,7,44,82,126,15,15,2,2,130,1950,null,,,9,2,11,4,0,0,15,473
2020-03-14T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,42,11,53,97,150,24,26,4,2,156,2100,null,,,5,4,9,15,2,0,26,150
2020-03-15T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,56,15,71,108,179,29,32,7,2,188,2452,null,,,14,4,18,11,3,0,32,352
2020-03-16T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,75,20,95,108,203,24,25,8,2,213,2653,null,,,19,5,24,0,1,0,25,201
2020-03-17T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,86,28,114,112,226,23,24,8,3,237,2916,null,,,11,8,19,4,0,1,24,263
2020-03-18T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,100,29,129,138,267,41,45,12,3,282,3294,null,,,14,1,15,26,4,0,45,378
2020-03-19T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,143,36,179,142,321,54,58,15,4,340,3961,null,,,43,7,50,4,3,1,58,667
2020-03-20T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,168,42,210,169,379,58,68,25,4,408,4468,null,,,25,6,31,27,10,0,68,507
2020-03-21T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,206,48,254,204,458,79,82,26,6,490,4883,null,,,38,6,44,35,1,2,82,415
2020-03-22T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,220,55,275,321,596,138,140,26,8,630,5580,null,,,14,7,21,117,0,2,140,697
2020-03-23T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,250,60,310,371,681,85,91,27,13,721,6375,null,,,30,5,35,50,1,5,91,795
2020-03-24T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,250,60,310,489,799,118,125,27,20,846,7170,null,,,0,0,0,118,0,7,125,795
2020-03-25T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,259,80,339,597,936,137,148,33,25,994,8312,null,,,9,20,29,108,6,5,148,1142
2020-03-26T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,346,68,414,681,1095,159,170,36,33,1164,9658,null,,,87,-12,75,84,3,8,170,1346
2020-03-27T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,425,75,500,658,1158,63,86,53,39,1250,11079,null,,,79,7,86,-23,17,6,86,1421
2020-03-28T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,441,71,512,730,1242,84,109,60,57,1359,13096,null,,,16,-4,12,72,7,18,109,2017
2020-03-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,451,71,522,808,1330,88,101,65,65,1460,13814,null,,,10,0,10,78,5,8,101,718
2020-03-30T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,484,75,559,849,1408,78,95,71,76,1555,14758,null,,,33,4,37,41,6,11,95,944
2020-03-31T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,503,72,575,917,1492,84,92,74,81,1647,15634,null,,,19,-3,16,68,3,5,92,876
2020-04-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,496,72,568,976,1544,52,71,86,88,1718,16836,null,,,-7,0,-7,59,12,7,71,1202
